timestamp,trip.tripId,trip.startTime,trip.startDate,trip.routeId,position.latitude,position.longitude,position.bearing,position.speed,vehicle.id,vehicle.licensePlate
1737334472,weekday_U2020_U202002_5,08:41:05,20250120,U2020,3.2431,101.705666,89.0,37.04,WUW8434,WUW8434
1737334475,weekday_T7900_T790002_2,08:42:31,20250120,T7900,3.117966,101.62529,66.4,13.33,WQA1073,WQA1073
1737334489,weekday_U3000_U300002_1,07:00:49,20250120,U3000,3.130379,101.763084,0.3,6.3,VEQ6895,VEQ6895
1737334491,weekday_T6400_T640002_3,08:11:51,20250120,T6400,3.07525,101.645836,92.0,5.56,WC5692K,WC5692K
1737334480,weekday_U3030_U303002_1,07:21:21,20250120,U3030,3.143351,101.776695,92.2,28.52,WVJ1046,WVJ1046
1737334491,weekday_T7880_T788002_0,08:47:51,20250120,T7880,3.114633,101.6695,276.0,0.0,CDH8332,CDH8332
1737334457,weekday_U4000_U400002_0,08:42:17,20250120,U4000,3.0552,101.7495,2.0,22.22,WB1755J,WB1755J
1737334466,weekday_U7520_U752002_3,08:24:26,20250120,U7520,3.035683,101.556656,0.0,0.0,WPL5053,WPL5053
1737334465,weekday_U7720_U772001_2,08:54:25,20250120,U7720,3.135833,101.68983,236.0,29.63,WVG8523,WVG8523
1737334466,weekday_P1050_P105002_0,06:51:10,20250120,P1050,2.913417,101.683334,0.0,0.0,WPX9780,WPX9780
1737334475,weekday_T2230_T223002_0,08:46:35,20250120,T2230,3.178133,101.74901,72.0,24.08,WUU6027,WUU6027
1737334495,weekday_U8210_U821002_1,08:43:25,20250120,U8210,3.118217,101.672165,0.0,0.0,WUW8410,WUW8410
1737334441,weekday_U6000_U600001_7,08:00:00,20250120,U6000,3.032784,101.619026,98.3,9.07,VGH4668,VGH4668
1737334475,weekday_P1030_P103002_0,08:49:35,20250120,P1030,2.95375,101.724335,222.0,29.63,WC4436C,WC4436C
1737334455,weekday_T7820_T782002_1,08:40:35,20250120,T7820,3.116362,101.57323,107.2,4.44,PJK1473,PJK1473
1737334474,weekday_U8210_U821002_1,08:17:04,20250120,U8210,3.1428,101.694664,0.0,0.0,WUW1285,WUW1285
1737334475,weekday_U4500_U450002_3,08:30:52,20250120,U4500,3.028788,101.77061,311.0,43.34,VGN2847,VGN2847
1737334481,weekday_T7890_T789002_1,08:42:11,20250120,T7890,3.1178,101.664825,254.0,16.67,WVA2977,WVA2977
1737334476,weekday_P0050_P005002_1,08:42:09,20250120,P0050,3.132317,101.621826,0.0,0.0,WB3671K,WB3671K
1737334481,weekday_U7720_U772002_4,07:42:46,20250120,U7720,3.118524,101.66385,63.7,40.19,VFA9781,VFA9781
1737334461,weekday_U1900_U190002_3,08:00:00,20250120,U1900,3.147183,101.694824,0.0,0.0,WVC4189,WVC4189
1737334458,weekday_U4500_U450001_1,08:46:48,20250120,U4500,3.135497,101.7151,329.7,4.63,WVE5025,WVE5025
1737334480,weekday_S3020_S302002_0,06:45:45,20250120,S3020,3.028128,101.46341,99.6,38.71,WUW9721,WUW9721
1737334471,weekday_U6400_U640002_4,08:45:51,20250120,U6400,3.077513,101.65661,79.69,13.33,WPX6907,WPX6907
1737334494,weekday_U2500_U250002_17,08:46:54,20250120,U2500,3.2086,101.72767,216.0,33.34,WB7597P,WB7597P
1737334491,weekday_U3000_U300002_4,08:42:24,20250120,U3000,3.128797,101.77253,338.0,22.41,VGH3094,VGH3094
1737334439,weekday_T2220_T222002_1,08:21:46,20250120,T2220,3.198051,101.73817,61.9,8.69,WVE5056,WVE5056
1737334461,weekday_T3500_T350002_1,08:30:21,20250120,T3500,3.12905,101.77617,0.0,0.0,WVC6453,WVC6453
1737334458,weekday_U2020_U202002_5,08:01:48,20250120,U2020,3.19175,101.7055,0.0,0.0,WUY9570,WUY9570
1737334460,weekday_S2020_S202002_2,08:02:23,20250120,S2020,3.074383,101.61483,269.0,12.96,WB846U,WB846U
