timestamp,trip_id,start_time,start_date,route_id,latitude,longitude,bearing,speed,vehicle_id,license_plate
2025-01-21 20:31:50,weekday_U5900_U590001_12,19:30:16,20250121,U5900,3.037162,101.77295,125.1,35.19,WPC7940,WPC7940
2025-01-21 20:32:09,weekday_S2060_S206002_6,20:00:38,20250121,S2060,2.819222,101.471565,270.2,0.0,SF2113527,SF2113527
2025-01-21 20:31:57,weekday_S4020_S402002_2,19:30:57,20250121,S4020,3.07745,101.555176,355.0,1.85,WQB2103,WQB2103
2025-01-21 20:31:46,weekday_S4050_S405002_2,13:10:40,20250121,S4050,3.107994,101.54056,48.4,60.36,WVH6287,WVH6287
2025-01-21 20:32:06,weekday_S4030_S403002_8,20:30:23,20250121,S4030,3.049243,101.52523,162.89,53.52,WVA3032,WVA3032
2025-01-21 20:31:48,weekday_U1510_U151001_6,19:46:18,20250121,U1510,3.240983,101.668,59.0,16.67,WVB5693,WVB5693
2025-01-21 20:32:00,weekday_S3020_S302002_9,19:31:25,20250121,S3020,3.023134,101.45088,184.8,0.0,WUW9720,WUW9720
2025-01-21 20:32:12,weekday_T6030_T603002_3,20:03:26,20250121,T6030,3.007556,101.597946,160.7,8.52,WVG2342,WVG2342
2025-01-21 20:32:03,weekday_P0050_P005002_2,20:18:33,20250121,P0050,3.132183,101.621666,274.0,46.3,WB3671K,WB3671K
2025-01-21 20:32:09,weekday_S2030_S203002_7,20:00:39,20250121,S2030,3.059267,101.64199,60.0,37.04,WB8610F,WB8610F
2025-01-21 20:31:30,weekday_U6510_U651002_1,19:51:07,20250121,U6510,3.081048,101.67143,147.8,8.89,WVG2429,WVG2429
2025-01-21 20:32:10,weekday_S4050_S405002_1,12:30:08,20250121,S4050,3.086683,101.55134,55.0,35.19,WB7413B,WB7413B
2025-01-21 20:31:51,weekday_U3000_U300002_8,19:59:18,20250121,U3000,3.160415,101.74128,279.2,40.0,VER7240,VER7240
2025-01-21 20:32:16,weekday_U4500_U450001_10,19:06:55,20250121,U4500,2.966051,101.7907,162.0,45.0,WVE5025,WVE5025
2025-01-21 20:32:14,weekday_U2510_U251002_2,19:29:14,20250121,U2510,3.181116,101.70127,19.79,17.59,WNV5654,WNV5654
2025-01-21 20:32:05,weekday_S0131_S013102_4,20:10:35,20250121,S0131,3.09484,101.46056,256.29,0.0,PLA2875,PLA2875
2025-01-21 20:32:26,weekday_U8010_U801002_7,20:01:58,20250121,U8010,3.188483,101.60316,359.0,42.6,WVH1852,WVH1852
2025-01-21 20:32:28,weekday_U1910_U191002_0,20:30:28,20250121,U1910,3.199717,101.65667,93.0,20.37,WPC1209,WPC1209
2025-01-21 20:32:26,weekday_U2010_U201002_8,19:03:59,20250121,U2010,3.260383,101.72668,346.0,35.19,WVA4383,WVA4383
2025-01-21 20:31:58,weekday_U1900_U190002_9,20:01:31,20250121,U1900,3.170183,101.694664,127.0,25.93,WUW1459,WUW1459
2025-01-21 20:31:59,weekday_P0040_P004002_1,20:06:05,20250121,P0040,3.103461,101.629234,314.29,45.19,WA7097M,WA7097M
2025-01-21 20:31:43,weekday_P0020_P002002_2,19:36:35,20250121,P0020,3.103745,101.64753,279.6,27.04,WVB6840,WVB6840
2025-01-21 20:31:59,weekday_U7520_U752001_9,20:03:29,20250121,U7520,3.008733,101.56432,178.0,44.45,WVA3152,WVA3152
2025-01-21 20:31:54,weekday_U7510_U751001_10,20:01:25,20250121,U7510,3.095832,101.634926,201.7,6.3,W2758T,W2758T
2025-01-21 20:32:04,weekday_U4210_U421002_5,19:30:16,20250121,U4210,3.145469,101.70368,97.3,26.48,W7970S,W7970S
2025-01-21 20:32:11,weekday_T2010_T201002_14,20:06:14,20250121,T2010,3.227033,101.72517,0.0,0.0,WPV4564,WPV4564
2025-01-21 20:31:59,weekday_P0020_P002002_2,20:01:46,20250121,P0020,3.118492,101.63148,75.69,5.19,WPY9550,WPY9550
2025-01-21 20:32:02,weekday_T6400_T640002_10,20:06:33,20250121,T6400,3.08685,101.6515,0.0,0.0,WVN5492,WVN5492
2025-01-21 20:31:56,weekday_S0030_S003002_8,20:00:26,20250121,S0030,2.99675,101.79116,91.0,31.48,WB4638T,WB4638T
2025-01-21 20:31:43,weekday_T7900_T790002_7,20:07:53,20250121,T7900,3.118669,101.64107,92.7,29.63,WVD4738,WVD4738
2025-01-21 20:32:01,weekday_U6000_U600002_22,19:46:56,20250121,U6000,3.137938,101.69331,55.2,5.93,VGG9462,VGG9462
2025-01-21 20:32:13,weekday_U2000_U200002_3,19:08:16,20250121,U2000,3.213448,101.71164,71.8,6.85,WVP2546,WVP2546
2025-01-21 20:31:48,weekday_S4060_S406002_2,19:25:48,20250121,S4060,3.037,101.534004,0.0,0.0,WVD4692,WVD4692
2025-01-21 20:31:51,weekday_U2010_U201002_9,20:00:51,20250121,U2010,3.205833,101.698,246.0,16.67,WVB5772,WVB5772
2025-01-21 20:32:09,weekday_U2510_U251002_2,18:30:39,20250121,U2510,3.18425,101.755844,0.0,0.0,WPA4809,WPA4809
2025-01-21 20:31:49,weekday_S1190_S119002_14,18:30:19,20250121,S1190,3.23095,101.67284,108.0,37.04,WB6374S,WB6374S
2025-01-21 20:31:54,weekday_S1170_S117002_3,19:48:59,20250121,S1170,2.947983,101.778336,344.0,12.96,WB2521U,WB2521U
2025-01-21 20:32:21,weekday_U7800_U780002_8,19:31:52,20250121,U7800,3.1132,101.62016,219.0,18.52,WVJ953,WVJ953
2025-01-21 20:32:07,weekday_U7720_U772001_15,20:14:06,20250121,U7720,3.113739,101.659096,241.6,49.08,VFK4581,VFK4581
2025-01-21 20:31:12,weekday_U2500_U250001_20,19:49:42,20250121,U2500,3.203783,101.73384,310.0,22.22,WPA114,WPA114
2025-01-21 20:31:03,weekday_P0010_P001002_16,19:21:38,20250121,P0010,3.103917,101.644844,166.0,11.11,WB1052P,WB1052P
2025-01-21 20:32:05,weekday_T2220_T222002_4,20:15:05,20250121,T2220,3.20965,101.745,300.0,33.34,WWC6423,WWC6423
2025-01-21 20:32:08,weekday_U7720_U772001_14,19:02:00,20250121,U7720,3.149718,101.54336,309.0,6.85,WQA1912,WQA1912
2025-01-21 20:31:52,weekday_S4080_S408002_11,19:01:57,20250121,S4080,3.02555,101.57166,0.0,0.0,WB870L,WB870L
2025-01-21 20:31:24,weekday_U6000_U600002_23,20:01:40,20250121,U6000,3.080995,101.66606,36.59,6.11,BNG4014,BNG4014
2025-01-21 20:31:54,weekday_U7720_U772002_16,20:00:54,20250121,U7720,3.128333,101.55734,149.0,42.6,WVA4137,WVA4137
2025-01-21 20:31:54,weekday_U5800_U580002_5,19:00:24,20250121,U5800,3.14665,101.698,0.0,0.0,WVN5548,WVN5548
2025-01-21 20:32:03,weekday_U3000_U300002_8,19:38:36,20250121,U3000,3.14895,101.69682,168.0,7.41,WB490G,WB490G
2025-01-21 20:32:04,weekday_S4100_S410002_3,19:02:18,20250121,S4100,3.170832,101.51716,156.1,16.67,WVA3105,WVA3105
